code,SMILES,Metal,solvents,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),PV
AHITET,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Gd,dimethylformamide,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,64,157.2,237,3.1,23.5,13,6.15,7.9,73.09,36.7,-0.85,1,2,0.37,153,0.12404
AJAKON,C1=CC(=CC=C1C(=O)O)N(C2=CC=C(C=C2)C(=O)O)C3=CC=C(C=C3)C(=O)O,Cd,"N,N-dimethylacetamide",3.406349206,195.1745665,7.122769064,-74.70308275,133.1195241,56.84442041,2.407427438,-499.7510135,345.1171454,-388.8149985,-209.4552147,-4.049456463,-11.4038192,-1.302707346,-0.35027428,0.034641831,-1.026993979,0,0,18.5093487,48,112.41,158,4.33,7.2,-70,8.994,8.69,87.12,32.2,-0.85,1,2,0.25,165.1,0.17842
AJIFAD,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",3.05026455,228.168847,-6.633217993,-80.28373702,-33.34256055,59.14071511,5.958477509,148.3771986,511.8979713,-272.2080821,911.6421651,-2.7619609,-21.2120641,-0.719723183,0.171033119,-0.588251461,-3.294897112,0,33.38070895,25.42293713,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.30574
AJUPAY,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,"N,N-dimethylacetamide",4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,27,58.93319,192,4.3,7.5,64,7.881,8.86,87.12,32.2,-0.85,1,2,0.25,165.1,0.08656
ALUKIC,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,dimethylsulfoxide,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,58,140.116,235,3.1,29.6,635,5.539,6.77,78.13,47.2,-1.3,1,2,0.43,189,0.62806
ALUKOI,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Sm,dimethylsulfoxide,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,62,150.4,229,3.1,28.8,16,5.644,7.52,78.13,47.2,-1.3,1,2,0.43,189,0.62732
ALUKUO,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Eu,dimethylsulfoxide,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,63,151.964,233,3.1,27.7,83,5.67,5.24,78.13,47.2,-1.3,1,2,0.43,189,0.62716
ALULAV,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Gd,dimethylsulfoxide,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,64,157.2,237,3.1,23.5,13,6.15,7.9,78.13,47.2,-1.3,1,2,0.43,189,0.62608
AMILOY,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,"N,N-dimethylformamide",4.208994709,173.8794816,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,0,0,9.148454271,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.3609
AMIMAL,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,benzene,4.208994709,173.8794816,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,0,0,9.148454271,30,65.4,139,4.45,6.4,-60,9.394,7.134,78.11,2.2,2.13,0,0,0.16,80.1,0.37476
ANAWIX,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,In,"N,N-dimethylformamide",27.33816425,173.7125213,-3.530864198,-14.48148148,8.62962963,-14.94375857,-91.93004115,-40.05604524,-265.8298615,-3.909604166,-39.74826508,1.789088889,-43.23549187,0.81558642,-0.251744498,-0.375275485,13.34851208,11.12690298,0,0,49,114.818,193,3.1,9.7,29,5.786,7.31,73.09,36.7,-0.85,1,2,0.37,153,0.3356
ANAWOD,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,In,benzene,27.33816425,173.7125213,-3.530864198,-14.48148148,8.62962963,-14.94375857,-91.93004115,-40.05604524,-265.8298615,-3.909604166,-39.74826508,1.789088889,-43.23549187,0.81558642,-0.251744498,-0.375275485,13.34851208,11.12690298,0,0,49,114.818,193,3.1,9.7,29,5.786,7.31,78.11,2.2,2.13,0,0,0.16,80.1,0.44498
ARADEE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,ammonia,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,48,112.41,158,4.33,7.2,-70,8.994,8.69,17.03,22.2,-0.23,1,1,0.3,-33.34,0.28266
ARUCIB,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Co,diethylformamide,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,27,58.93319,192,4.3,7.5,64,7.881,8.86,89.13,37.7,-0.55,1,2,0.2,174,0.16762
ATIBOU02,C(=O)O,Mn,"N,N-dimethylformamide",6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,25,54.93804,197,3.72,9.4,-50,7.434,7.3,73.09,36.7,-0.85,1,2,0.37,153,0.29352
ATOWIQ,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,methylamine,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,31.06,5.1,0.23,1,1,0.19,-6.3,0.5714
ATOWOW,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylamine,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,45.09,3.9,0.67,1,1,0.2,3.2,0.57274
ATOXEN,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.13068
AVAQIX,C1=CN=CC=C1C(=O)O,Cd,dimethylformamide,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.26036
AVAQIX01,C1=CN=CC=C1C(=O)O,Cd,"N,N-dimethylformamide",6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.24776
AVIHIY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Ho,"N,N-dimethylformamide",6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,67,164.93033,216,3.1,23.6,33,6.022,8.8,73.09,36.7,-0.85,1,2,0.37,153,0.38694
AVIHOE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Tm,"N,N-dimethylformamide",6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,69,168.93422,227,3.1,21.8,99,6.184,9.32,73.09,36.7,-0.85,1,2,0.37,153,0.3628
AVIPOL,C1=C(C=NC=C1C(=O)O)C(=O)O,Mg,"N,N-dimethylformamide",6.222222222,137.7136747,-4.211072664,-30.1349481,-11.15570934,27.39600154,-14.94579008,268.30865,-142.4357142,-30.12566296,91.82694363,-1.284416609,-24.15715809,-0.47321322,1.258362168,-0.123804066,79.5168395,0,0,1.053240741,12,24.305,173,3.75,10.6,-40,7.646,1.74,73.09,36.7,-0.85,1,2,0.37,153,0.23812
AVUCEA,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Co,ethanol,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,27,58.93319,192,4.3,7.5,64,7.881,8.86,46.07,24.3,-0.31,1,1,0.3,78.37,0.35164
AYOYIY,C(=C/C(=O)O)\C=C\C(=O)O,Co,dimethylformamide,5.694444444,152.5511044,1.3125,-34.875,39.625,34.36805556,-29.76388889,-37.844126,-60.35677856,-322.1088313,9.583532402,-0.66429375,-2.061937685,-0.421875,-0.78125,-0.841463322,-9.68713117,0,0,0,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.14664
BADHIA,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,0.04476
BADHOG,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,0.04496
BADHUM,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,0.0454
BADJAU,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,0.00318
BAYQOK,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.31546
BAYQUQ,C1=CC(=CC=C1C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.61078
BAYRAX,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,0.30392
BEDTAI,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,"N,N-dimethylformamide",4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.41818
BEFJOO,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.16304
BEKQUG,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.46546
BEQFEK,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Co,acetonitrile,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,27,58.93319,192,4.3,7.5,64,7.881,8.86,41.05,37.5,0.34,0,1,0.26,81.6,0.2522
BEQKAM,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,ethanol,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,30,65.4,139,4.45,6.4,-60,9.394,7.134,46.07,24.3,-0.31,1,1,0.3,78.37,0.42902
BIPXOQ,C1=CN=CC=C1C(=O)O,Co,dimethylformamide,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.23924
BUPSUD,C1=CN=CC=C1C2=CC=NC=C2,Cu,acetonitrile,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,29,63.55,140,4.48,6.7,119,7.726,8.933,41.05,37.5,0.34,0,1,0.26,81.6,0.09084
CADQAB,C1=C(C(=CC(=C1O)C(=O)O)O)C(=O)O,Pr,dimethylformamide,9.730639731,123.3797369,3.08,-39.83,46.29,25.92444444,-42.98555556,-54.73138075,-103.1468025,-25.83376716,-40.33740763,0.20628,-17.00759267,-0.21,-0.244545455,2.545874964,-3.433618402,22.62592665,11.49902367,1.363333333,59,140.90766,239,3.1,28.2,93,5.464,6.77,73.09,36.7,-0.85,1,2,0.37,153,0.17974
CAGSAG,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,"N,N-dimethylformamide",4.208994709,173.8794816,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,0,0,9.148454271,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.3771
CAVRAU,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Zn,dimethylformamide,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.52334
CAVREY,C1=C(C=C(C=C1C(=O)O)O)C(=O)O,Zn,dimethylformamide,10.64102564,114.5120855,-0.872576177,-39.95567867,4.653739612,32.07910126,-26.71899046,341.0205921,-395.2272923,-82.49993911,-171.0374962,-2.251463989,-15.36591958,-0.159510619,1.383336885,1.746852814,76.06475325,5.749511833,5.749511833,2.938425926,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.5022
CAVWOO,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Dy,"N,N-dimethylformamide",6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,66,162.5,229,3.1,24.5,34,5.939,8.55,73.09,36.7,-0.85,1,2,0.37,153,0.32722
CAXZOS,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Co,"N,N-dimethylformamide",3.049095607,151.2393531,-13.11111111,-36.33333333,5,17.3128858,0.935185185,16.02032455,305.4643367,-184.0296772,52.37720138,-0.875777778,-3.720835241,-0.789598109,0.413436693,-2.896483922,-16.56632117,0,11.12690298,10.54098356,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.41066
CECFEY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",5.132132132,215.6352135,2,-72,-76,70.44444444,-12,900.4250681,-387.2845392,-51.59703123,370.5888096,-4.511168166,-21.43958889,-0.475,1.162162162,1.543624954,1.889892347,0,11.12690298,6.464397203,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.499
CEDFIC,C1=C(C=C(C=C1C(=O)O)[N+](=O)[O-])C(=O)O,Gd,"N,N-dimethylformamide",8.08045977,155.0687468,10.24,-36.08,-47.6,52.95666667,-10.66333333,434.3616168,-77.80089334,-88.84582021,5.968041315,-4.57818,-16.83487397,-1.185,1.504827586,1.946496089,85.43943289,0,0,2.459537037,64,157.2,237,3.1,23.5,13,6.15,7.9,73.09,36.7,-0.85,1,2,0.37,153,0.06874
CEHLAD,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,dimethylformamide,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.31242
CEJZAU,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Co,"N,N-dimethylformamide",3.81712963,185.3665294,1.750297265,-61.79310345,34.89179548,36.66115075,-6.680076628,-113.0903355,355.1154057,-315.5260643,121.3910449,-3.370697979,-13.30086095,-1.511296076,-0.034284582,-0.011326782,-1.016590183,11.49902367,11.49902367,11.88033846,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.37004
