code,SMILES,Metal,solvents,AATS5s,AATS0i,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC0m,AATSC2m,AATSC3m,PEOE_VSA7,EState_VSA2,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),SSA
AHITET,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Gd,dimethylformamide,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,64,157.2,237,3.1,23.5,13,6.15,7.9,73.09,36.7,-0.85,1,2,0.37,153,122.108
AJAKON,C1=CC(=CC=C1C(=O)O)N(C2=CC=C(C=C2)C(=O)O)C3=CC=C(C=C3)C(=O)O,Cd,"N,N-dimethylacetamide",3.406349206,157.218466,152.1448077,7.122769064,-45.40075717,-388.8149985,-209.4552147,-83.18651229,6.086295998,-11.4038192,6.851353018,0.025886317,7.223363981,-0.488180185,34.07653056,0.034641831,-2.309973103,72.79640482,16.69035448,4.251,48,112.41,158,4.33,7.2,-70,8.994,8.69,87.12,32.2,-0.85,1,2,0.25,165.1,365.738
AJIFAD,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",3.05026455,154.2092758,145.963084,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,1.850657439,-21.2120641,-37.6854775,0.052267347,6.955017301,-0.633035877,32.94325277,-0.588251461,-3.083480907,87.97801257,16.69035448,5.7822,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,788.387
AJUPAY,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,"N,N-dimethylacetamide",4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,87.12,32.2,-0.85,1,2,0.25,165.1,119.314
ALUKIC,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,dimethylsulfoxide,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,58,140.116,235,3.1,29.6,635,5.539,6.77,78.13,47.2,-1.3,1,2,0.43,189,3679.06
ALUKOI,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Sm,dimethylsulfoxide,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,62,150.4,229,3.1,28.8,16,5.644,7.52,78.13,47.2,-1.3,1,2,0.43,189,3620.99
ALUKUO,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Eu,dimethylsulfoxide,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,63,151.964,233,3.1,27.7,83,5.67,5.24,78.13,47.2,-1.3,1,2,0.43,189,3622.64
ALULAV,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Gd,dimethylsulfoxide,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,64,157.2,237,3.1,23.5,13,6.15,7.9,78.13,47.2,-1.3,1,2,0.43,189,3555.28
AMILOY,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,"N,N-dimethylformamide",4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,915.091
AMIMAL,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,benzene,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,78.11,2.2,2.13,0,0,0.16,80.1,944.218
ANAWIX,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,In,"N,N-dimethylformamide",27.33816425,185.5672853,174.3109135,-3.530864198,-18.48148148,-3.909604166,-39.74826508,53.39404833,-3.638024691,-43.23549187,-0.629115848,-2.785758823,5.358024691,-0.560044893,26.35608235,-0.375275485,-2.189414079,0,0,1.6394,49,114.818,193,3.1,9.7,29,5.786,7.31,73.09,36.7,-0.85,1,2,0.37,153,626.031
ANAWOD,C1(=C(C(=C(C(=C1F)F)C(=O)O)F)F)C(=O)O,In,benzene,27.33816425,185.5672853,174.3109135,-3.530864198,-18.48148148,-3.909604166,-39.74826508,53.39404833,-3.638024691,-43.23549187,-0.629115848,-2.785758823,5.358024691,-0.560044893,26.35608235,-0.375275485,-2.189414079,0,0,1.6394,49,114.818,193,3.1,9.7,29,5.786,7.31,78.11,2.2,2.13,0,0,0.16,80.1,974.851
ARADEE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,ammonia,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,48,112.41,158,4.33,7.2,-70,8.994,8.69,17.03,22.2,-0.23,1,1,0.3,-33.34,483.699
ARUCIB,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Co,diethylformamide,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,89.13,37.7,-0.55,1,2,0.2,174,372.152
ATIBOU02,C(=O)O,Mn,"N,N-dimethylformamide",6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,25,54.93804,197,3.72,9.4,-50,7.434,7.3,73.09,36.7,-0.85,1,2,0.37,153,433.613
ATOWIQ,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,methylamine,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,31.06,5.1,0.23,1,1,0.19,-6.3,1878.51
ATOWOW,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylamine,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,45.09,3.9,0.67,1,1,0.2,3.2,1877.52
ATOXEN,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,134.689
AVAQIX,C1=CN=CC=C1C(=O)O,Cd,dimethylformamide,6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,350.152
AVAQIX01,C1=CN=CC=C1C(=O)O,Cd,"N,N-dimethylformamide",6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,321.714
AVIHIY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Ho,"N,N-dimethylformamide",6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,67,164.93033,216,3.1,23.6,33,6.022,8.8,73.09,36.7,-0.85,1,2,0.37,153,665.116
AVIHOE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Tm,"N,N-dimethylformamide",6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,69,168.93422,227,3.1,21.8,99,6.184,9.32,73.09,36.7,-0.85,1,2,0.37,153,558.29
AVIPOL,C1=C(C=NC=C1C(=O)O)C(=O)O,Mg,"N,N-dimethylformamide",6.222222222,162.6584682,152.8530399,-4.211072664,-38.5467128,-30.12566296,91.82694363,79.5168395,1.45769827,-24.15715809,4.96450468,-0.515372072,7.467128028,-1.329196993,34.82995965,-0.123804066,-6.405245579,6.066367068,11.12690298,0.478,12,24.305,173,3.75,10.6,-40,7.646,1.74,73.09,36.7,-0.85,1,2,0.37,153,525.544
AVUCEA,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Co,ethanol,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,27,58.93319,192,4.3,7.5,64,7.881,8.86,46.07,24.3,-0.31,1,1,0.3,78.37,1030.09
AYOYIY,C(=C/C(=O)O)\C=C\C(=O)O,Co,dimethylformamide,5.694444444,163.2548245,161.8581408,1.3125,-49.625,-322.1088313,9.583532402,-38.74852468,-1.480625,-2.061937685,2.142741284,-1.240162037,8.484375,-2.067708333,39.58436611,-0.841463322,-9.537222547,0,0,0.268,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,246.425
BADHIA,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,17.1713
BADHOG,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,17.2495
BADHUM,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,17.3847
BADJAU,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,9.34048
BAYQOK,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,763.808
BAYQUQ,C1=CC(=CC=C1C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,2714.1
BAYRAX,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,"N,N-dimethylformamide",6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,648.189
BEDTAI,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,"N,N-dimethylformamide",4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1291.75
BEFJOO,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,243.521
BEKQUG,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1401.56
BEQFEK,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Co,acetonitrile,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,27,58.93319,192,4.3,7.5,64,7.881,8.86,41.05,37.5,0.34,0,1,0.26,81.6,644.02662
BEQKAM,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,ethanol,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,30,65.4,139,4.45,6.4,-60,9.394,7.134,46.07,24.3,-0.31,1,1,0.3,78.37,952.889
BIPXOQ,C1=CN=CC=C1C(=O)O,Co,dimethylformamide,6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,400.629
BUPSUD,C1=CN=CC=C1C2=CC=NC=C2,Cu,acetonitrile,2.5,158.4882451,153.3959163,-28.08,-37.42,-168.53654,-97.35287001,0,-0.110664,5.60363627,17.32369574,-0.070175439,6.49,-0.984736842,31.17136264,-6.11030994,-4.654749251,35.39237126,0,2.1436,29,63.55,140,4.48,6.7,119,7.726,8.933,41.05,37.5,0.34,0,1,0.26,81.6,308.11
CADQAB,C1=C(C(=CC(=C1O)C(=O)O)O)C(=O)O,Pr,dimethylformamide,9.730639731,161.8284238,151.69121,3.08,-49.63,-25.83376716,-40.33740763,-13.73447361,-2.6322,-17.00759267,3.574934718,-1.161771772,7.89,-1.341351351,36.66212565,2.545874964,-6.245226885,12.13273414,0,0.4942,59,140.90766,239,3.1,28.2,93,5.464,6.77,73.09,36.7,-0.85,1,2,0.37,153,265.108
CAGSAG,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,"N,N-dimethylformamide",4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1119.078079
CAVRAU,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Zn,dimethylformamide,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1687.65
CAVREY,C1=C(C=C(C=C1C(=O)O)O)C(=O)O,Zn,dimethylformamide,10.64102564,160.5851153,151.5841872,-0.872576177,-66.48199446,-82.49993911,-171.0374962,76.06475325,-0.594210526,-15.36591958,7.749371444,-0.763399727,7.83933518,-1.899485556,36.5352815,1.746852814,-8.988056674,18.19910121,16.87641482,0.7886,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1718.79
CAVWOO,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Dy,"N,N-dimethylformamide",6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,66,162.5,229,3.1,24.5,34,5.939,8.55,73.09,36.7,-0.85,1,2,0.37,153,556.37
CAXZOS,C1=CC(=CC=C1C2=CC=NC=C2)C(=O)O,Co,"N,N-dimethylformamide",3.049095607,156.9972407,150.3053673,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,0.528467882,-3.720835241,-2.198696973,0.019483025,6.972222222,-0.659722222,33.12236148,-2.896483922,-3.185992089,35.39237126,0,2.4468,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1403.82
CECFEY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Zn,"N,N-dimethylformamide",5.132132132,157.6910737,146.7305362,2,-90,-51.59703123,370.5888096,90.71483263,2.862975779,-21.43958889,14.31855002,-0.171428571,7.294117647,-1.285714286,34.06980826,1.543624954,-6.167148809,47.52510539,33.38070895,2.1464,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1935.04
CEDFIC,C1=C(C=C(C=C1C(=O)O)[N+](=O)[O-])C(=O)O,Gd,"N,N-dimethylformamide",8.08045977,163.1445443,152.9221209,10.24,-45.48,-88.84582021,5.968041315,85.43943289,4.418904,-16.83487397,7.928130688,-0.288198198,7.14,-1.229189189,33.12123055,1.946496089,-5.855391314,6.066367068,0,0.9912,64,157.2,237,3.1,23.5,13,6.15,7.9,73.09,36.7,-0.85,1,2,0.37,153,46.342
CEHLAD,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,dimethylformamide,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,832.221
CEJZAU,C1=CC(=CC=C1C(=O)O)OC2=CC=C(C=C2)C(=O)O,Co,"N,N-dimethylformamide",3.81712963,156.9501357,152.3226421,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,5.061973841,-13.30086095,2.543059342,-0.115173735,7.4078478,-0.832342449,34.83832983,-0.011326782,-3.910457581,48.53093655,11.12690298,2.8753,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1210.25
